Time(s),Ego_Speed(km/h),Target_Speed(km/h),Actual_Distance(m),Desired_Distance(m),Control_Mode,Lane_Offset,ACC_State,ACC_Active,V_target_Setting,V_min_Setting,G2_Setting,Manual_Throttle,Manual_Brake,Manual_Steer
101.50572204589844,96.50145990284598,96.53906378203888,112.38776111602783,107.22384433649553,TIME,-0.00026066089048981667,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158064484596252,0.0,-0.00011249750969000161
101.60678815841675,96.50193101458159,96.5390516506017,112.38849258422852,107.22436779397954,TIME,-0.0005042004049755633,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.815813422203064,0.0,-0.00010408945672679693
101.70714926719666,96.50240345417512,96.53905904594444,112.38929176330566,107.22489272686124,TIME,-0.0005042004049755633,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158215880393982,0.0,-3.964049756177701e-05
101.81138110160828,96.50289213734234,96.53905452617931,112.39007520675659,107.22543570815816,TIME,-0.0007477399776689708,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158292174339294,0.0,-0.00011496074148453772
101.91258645057678,96.50340224687643,96.5390447615695,112.39109992980957,107.22600249652936,TIME,-0.0009912794921547174,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158407807350159,0.0,-0.00011810169235104695
102.01733493804932,96.50392980421555,96.53903929706692,112.39188289642334,107.2265886713506,TIME,-0.0012348189484328032,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158479332923889,0.0,-7.784940680721775e-05
102.1178388595581,96.50447663679977,96.53904310731835,112.39261054992676,107.22719626311084,TIME,-0.0005042004049755633,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158539533615112,0.0,0.0003404600138310343
102.22253441810608,96.50503216693238,96.53904826632157,112.39339447021484,107.22781351881375,TIME,-0.0005042004049755633,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158608078956604,0.0,1.9856706785503775e-05
102.32269239425659,96.5056042515471,96.53905444914236,112.39391613006592,107.22844916838567,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158628940582275,0.0,-9.413808584213257e-05
102.42662286758423,96.50619789405494,96.53907092670413,112.3941421508789,107.22910877117215,TIME,-0.0007477399776689708,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158596158027649,0.0,-2.2248903405852616e-05
102.52554154396057,96.50677960690255,96.53906485630117,112.39408874511719,107.22975511878062,TIME,0.0,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158516883850098,0.0,0.00033417617669329047
102.62104654312134,96.5073563954695,96.53907026072211,112.39384651184082,107.2303959949661,TIME,-0.00024353952903766185,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.815840482711792,0.0,-0.00011026974971173331
102.71895480155945,96.50793898034048,96.53908442349095,112.39384841918945,107.23104331148943,TIME,-0.0005042004049755633,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158335089683533,0.0,-0.0001519739453215152
102.82644557952881,96.50850798822654,96.53907946714182,112.39384841918945,107.23167554247394,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158265948295593,0.0,-0.0001232657377840951
102.92788219451904,96.50905806133696,96.53906944269674,112.39407539367676,107.23228673481884,TIME,-0.0007477399776689708,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158239126205444,0.0,-8.02198314886482e-07
103.02847409248352,96.509598887788,96.53906584192744,112.39407539367676,107.23288765309778,TIME,-0.0009912794921547174,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158173561096191,0.0,-0.00010869242396438494
103.13306617736816,96.51012397652958,96.5390570486201,112.39379692077637,107.23347108503287,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8158061504364014,0.0,0.0001315568370046094
103.23413062095642,96.51061250489794,96.53904568695238,112.39376449584961,107.23401389433104,TIME,-0.0005042004049755633,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157997131347656,0.0,0.0001300724397879094
103.33954453468323,96.5111018630804,96.53904077846722,112.39376640319824,107.23455762564488,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157938122749329,0.0,-0.00011574548261705786
103.4397931098938,96.51157148015882,96.53904869252786,112.39397621154785,107.23507942239868,TIME,-0.0005042004049755633,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157917857170105,0.0,0.00013870959810446948
103.5448694229126,96.51202217540053,96.53905639409993,112.39397048950195,107.23558019488948,TIME,-0.0004870790580753237,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157862424850464,0.0,9.297702490584925e-06
103.64383125305176,96.5124663726592,96.53906316723153,112.39372825622559,107.23607374739912,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157766461372375,0.0,-0.00013013486750423908
103.74748110771179,96.51288163740146,96.53905131364066,112.39371490478516,107.2365351526683,TIME,-0.00026066089048981667,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157714009284973,0.0,0.00022934960725251585
103.84936094284058,96.51328760549161,96.53906977744872,112.39373397827148,107.23698622832401,TIME,-0.00024353952903766185,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157668113708496,0.0,-1.7693539120955393e-05
103.95097637176514,96.51366603438522,96.53907146600686,112.39400482177734,107.23740670487247,TIME,-0.0005042004049755633,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157669305801392,0.0,-0.00013806959032081068
104.05278706550598,96.5140362141736,96.53907654075444,112.3940200805664,107.23781801574845,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157626986503601,0.0,-0.0001244582235813141
104.1584460735321,96.51440536135199,96.53907871688827,112.39374542236328,107.23822817927999,TIME,-0.0004870790580753237,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157535195350647,0.0,0.0001242172293132171
104.26136589050293,96.51475198095935,96.53908217382835,112.39376068115234,107.23861331217705,TIME,-0.0007477399776689708,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157495856285095,0.0,-0.00011107056343462318
