cycle_index,desired_time_gap_s,actual_time_gap_s
222,2.0,3.0829177782969395
223,2.0,3.0761263710287143
224,2.0,3.0708112431560073
225,2.0,3.0663920366837747
226,2.0,3.062997475447699
227,2.0,3.060876225515999
228,2.0,3.0595871775610264
229,2.0,3.058959660304327
230,2.0,3.0590508698576357
231,2.0,3.0596588439973362
232,2.0,3.060565236029227
233,2.0,3.061321087974842
234,2.0,3.0617718036361667
235,2.0,3.061663096328901
236,2.0,3.0604249770961585
237,2.0,3.0583967929823297
238,2.0,3.055194340754029
239,2.0,3.050955498879988
240,2.0,3.0457238679624496
241,2.0,3.0395566262223905
242,2.0,3.0326219615059875
243,2.0,3.0249545569300107
244,2.0,3.0168288137385644
245,2.0,3.008415645120421
246,2.0,2.9995809022479683
247,2.0,2.990832812852681
248,2.0,2.982171968219117
249,2.0,2.9736883306091544
250,2.0,2.965790015691642
251,2.0,2.9583349236826604
252,2.0,2.951635445060594
253,2.0,2.945840030696373
254,2.0,2.940947828053298
255,2.0,2.9371720851601113
256,2.0,2.9344740506677955
257,2.0,2.9326399631487936
258,2.0,2.9315854641046863
259,2.0,2.931403497597609
260,2.0,2.931965951631084
261,2.0,2.9330479135114045
262,2.0,2.934659903315659
263,2.0,2.9364770201765147
264,2.0,2.938252078646701
265,2.0,2.9396901370940656
266,2.0,2.940606309169269
267,2.0,2.940815808405883
268,2.0,2.940241191414391
269,2.0,2.9388296462745
270,2.0,2.936624306959228
271,2.0,2.9336333699809853
272,2.0,2.929977412794978
273,2.0,2.9256981440401684
274,2.0,2.920954466439122
275,2.0,2.9158137467406084
276,2.0,2.9104366287835224
277,2.0,2.904915503992631
278,2.0,2.8994755170740314
279,2.0,2.894265913017451
280,2.0,2.889475497244432
281,2.0,2.8852676368755223
282,2.0,2.881815468481467
283,2.0,2.8792262241894013
284,2.0,2.8776074394840925
285,2.0,2.876960422340076
286,2.0,2.877274327258282
287,2.0,2.878438484823693
288,2.0,2.880400895627686
289,2.0,2.8830086664012353
290,2.0,2.886142479718222
291,2.0,2.8896780869471743
292,2.0,2.89350333915047
293,2.0,2.8974927851487653
294,2.0,2.9015444525326317
295,2.0,2.905461161628631
296,2.0,2.9091186392666986
297,2.0,2.912404215978156
298,2.0,2.91524066464698
299,2.0,2.9174807633113216
300,2.0,2.9190751700207116
301,2.0,2.9199156802524207
302,2.0,2.919978572783443
303,2.0,2.919237662853674
304,2.0,2.9176423638059994
305,2.0,2.9152271197496016
306,2.0,2.912120274277467
307,2.0,2.908412162944086
308,2.0,2.9041696959305234
309,2.0,2.8994876976455592
310,2.0,2.8945967863567446
311,2.0,2.8897135543743473
312,2.0,2.8851755308557387
313,2.0,2.8812344946761477
314,2.0,2.878116327365495
315,2.0,2.87594465023217
316,2.0,2.8748921182153997
317,2.0,2.875040582786841
318,2.0,2.8763724097955494
319,2.0,2.8787482841458334
320,2.0,2.881969732951066
321,2.0,2.885808637322346
322,2.0,2.89007438480225
323,2.0,2.8944985836857953
324,2.0,2.8989658077672655
325,2.0,2.9033849608324065
326,2.0,2.9077769156200155
327,2.0,2.9118332385148706
328,2.0,2.915611650329972
329,2.0,2.9187960420542542
330,2.0,2.9214958998740355
331,2.0,2.9233678203637496
332,2.0,2.9244911487996808
333,2.0,2.924570010847687
334,2.0,2.9238788627610908
335,2.0,2.922237457336408
336,2.0,2.9199627296242245
337,2.0,2.9169049278328965
338,2.0,2.913995516904234
339,2.0,2.9101665893074324
340,2.0,2.906265210293965
341,2.0,2.9019017315167486
342,2.0,2.897911211899619
343,2.0,2.893813854490336
344,2.0,2.890572543631046
345,2.0,2.887782710462878
346,2.0,2.8861992610215688
347,2.0,2.885387026944023
348,2.0,2.8859156487667685
349,2.0,2.8872446749105927
350,2.0,2.8897376022559764
351,2.0,2.89337080591842
352,2.0,2.897408883770689
353,2.0,2.901260223669831
354,2.0,2.905788805532835
355,2.0,2.9100887391950985
356,2.0,2.9149269965334415
357,2.0,2.919259230185406
358,2.0,2.9236645470141798
359,2.0,2.9271700793970985
360,2.0,2.9302132923805724
361,2.0,2.9319921013125136
362,2.0,2.933086256987269
363,2.0,2.932905900069019
364,2.0,2.932649651259505
365,2.0,2.930798516499332
366,2.0,2.9283367349298537
367,2.0,2.924667194380895
368,2.0,2.9208211415998395
369,2.0,2.9161539742636235
370,2.0,2.911572499864311
371,2.0,2.9065204416454775
372,2.0,2.901983799781844
373,2.0,2.897557525585564
374,2.0,2.89410740542166
375,2.0,2.8911886613564626
376,2.0,2.8895903825273055
377,2.0,2.889188157926383
378,2.0,2.889923654747609
379,2.0,2.8912037534249078
380,2.0,2.8935884012399735
381,2.0,2.8961937997475893
382,2.0,2.8996775532174266
383,2.0,2.903227498995343
384,2.0,2.907402305706677
385,2.0,2.91146615596621
386,2.0,2.9158691290502285
387,2.0,2.9199379002468144
388,2.0,2.924077617408062
389,2.0,2.9275470013879334
390,2.0,2.931025772855049
391,2.0,2.9333557941597093
392,2.0,2.935176378626986
393,2.0,2.935767161012584
394,2.0,2.9357874803123147
395,2.0,2.9345632653881744
396,2.0,2.9327683207529627
397,2.0,2.9297714693576355
398,2.0,2.92622553326888
399,2.0,2.9216969652948817
400,2.0,2.9168580332622533
401,2.0,2.911459387808678
402,2.0,2.906300061501902
403,2.0,2.9016218139724916
404,2.0,2.8976542054637626
405,2.0,2.894143891662595
406,2.0,2.8919656036473933
407,2.0,2.890581616520505
408,2.0,2.890698257467829
409,2.0,2.8916532964082253
410,2.0,2.894039308373351
411,2.0,2.8971231208137276
412,2.0,2.9012136304665277
413,2.0,2.9055479644378814
414,2.0,2.9103720883553423
415,2.0,2.914946273114477
416,2.0,2.91995391805074
417,2.0,2.9240528899827094
418,2.0,2.9278769605420463
419,2.0,2.9307345623042407
420,2.0,2.933294125281013
421,2.0,2.9347923423500153
422,2.0,2.935841088210976
423,2.0,2.935756606250099
424,2.0,2.9350868216274186
425,2.0,2.933188581717748
426,2.0,2.93063289725562
427,2.0,2.927005915272173
428,2.0,2.923023061080329
429,2.0,2.9186852330321402
